Customer_ID,Customer_Name,Gender,Age,City,State,Segment,Join_Date
CUST1000,Ishaan Chavan,Male,54,Chennai,Tamil Nadu,Corporate,2024-10-08
CUST1001,Reyansh Joshi,Female,25,Pune,Gujarat,Home Office,2023-12-28
CUST1002,Isha Nair,Male,24,Delhi,Rajasthan,Consumer,2024-12-21
CUST1003,Sai Sharma,Male,31,Bangalore,Karnataka,Consumer,2024-12-16
CUST1004,Isha Patil,Male,20,Bangalore,Tamil Nadu,Home Office,2024-06-26
CUST1005,Riya Sharma,Female,33,Ahmedabad,Tamil Nadu,Corporate,2023-07-13
CUST1006,Aarav Chavan,Male,36,Mumbai,Tamil Nadu,Corporate,2024-10-13
CUST1007,Pooja Singh,Male,35,Jaipur,Karnataka,Home Office,2025-11-16
CUST1008,Neha Sharma,Male,33,Bangalore,Tamil Nadu,Consumer,2025-12-05
CUST1009,Vihaan Chavan,Female,25,Bangalore,Telangana,Home Office,2024-10-08
CUST1010,Sneha Patil,Male,50,Mumbai,Maharashtra,Consumer,2025-08-11
CUST1011,Sneha Sharma,Male,29,Delhi,Rajasthan,Consumer,2025-12-17
CUST1012,Isha Yadav,Male,28,Hyderabad,Rajasthan,Corporate,2025-11-02
CUST1013,Aarav Chavan,Male,22,Chennai,Maharashtra,Home Office,2025-08-06
CUST1014,Aarav Chavan,Female,44,Nagpur,Gujarat,Consumer,2025-08-18
CUST1015,Sneha Deshmukh,Male,29,Nagpur,Delhi,Corporate,2023-02-18
CUST1016,Aditya Kulkarni,Female,34,Nagpur,West Bengal,Home Office,2025-03-13
CUST1017,Ishaan Kulkarni,Female,23,Mumbai,Telangana,Home Office,2024-08-29
CUST1018,Priya Chavan,Female,50,Nagpur,Karnataka,Consumer,2023-01-10
CUST1019,Kavya Patil,Male,22,Ahmedabad,West Bengal,Consumer,2024-11-04
CUST1020,Kavya Pawar,Female,45,Pune,Maharashtra,Consumer,2024-12-26
CUST1021,Meera Reddy,Male,31,Mumbai,Tamil Nadu,Home Office,2024-05-30
CUST1022,Sai Patil,Female,22,Mumbai,Rajasthan,Consumer,2023-08-12
CUST1023,Ananya Sharma,Female,50,Chennai,Gujarat,Home Office,2023-07-22
CUST1024,Riya Sharma,Female,58,Nagpur,Gujarat,Corporate,2025-07-30
CUST1025,Aditya Deshmukh,Female,36,Kolkata,Delhi,Home Office,2024-08-11
